ENSG00000186092	ENSMUSG00000051951	FBgn0002121	AT1G01010	
ENSG00000053371	ENSMUSG00000026027	FBgn0031395	AT1G03270	
ENSG00000040487	ENSMUSG00000072295	FBgn0085201	AT1G03280	
ENSG00000077549	ENSMUSG00000038079	FBgn0051668	AT1G03290	
ENSG00000173436	ENSMUSG00000079550	FBgn0053124	AT1G03300	
ENSG00000158748	ENSMUSG00000026024	FBgn0031397	AT1G03310	
ENSG00000162542	ENSMUSG00000026023	FBgn0010288	AT1G03320	
ENSG00000178828	ENSMUSG00000041075	FBgn0085203	AT1G03325	
ENSG00000169914	ENSMUSG00000026021	FBgn0031398	AT1G03330	
ENSG00000188784	ENSMUSG00000026020	FBgn0031399	AT1G03340	
ENSG00000188257	ENSMUSG00000067336	FBgn0031401	AT1G03350	
ENSG00000127472	ENSMUSG00000041040	FBgn0031403	AT1G03360	
ENSG00000117215	ENSMUSG00000026018	FBgn0267378	AT1G03365	
ENSG00000158786	ENSMUSG00000026019	FBgn0262126	AT1G03370	
ENSG00000187980	ENSMUSG00000026017	FBgn0051679	AT1G03380	
ENSG00000162543	ENSMUSG00000073664	FBgn0052463	AT1G03390	
ENSG00000158816	ENSMUSG00000049439	FBgn0051682	AT1G03395	
ENSG00000162545	ENSMUSG00000026782	FBgn0264979	AT1G03400	
ENSG00000090432	ENSMUSG00000026014	FBgn0011832	AT1G03410	
ENSG00000183114	ENSMUSG00000026012	FBgn0042186	AT1G03430	
ENSG00000158825	ENSMUSG00000026011	FBgn0042187	AT1G03440	
ENSG00000158828	ENSMUSG00000026009	FBgn0031406	AT1G03445	
ENSG00000244038	ENSMUSG00000052062	FBgn0031407	AT1G03457	
ENSG00000117245	ENSMUSG00000025969	FBgn0054049	AT1G03470	
ENSG00000189410	ENSMUSG00000040865	FBgn0250841	AT1G03475	
ENSG00000127483	ENSMUSG00000025968	FBgn0031409	AT1G03490	
ENSG00000075151	ENSMUSG00000025967	FBgn0051681	AT1G03495	
ENSG00000117298	ENSMUSG00000046856	FBgn0261523	AT1G03510	
ENSG00000142794	ENSMUSG00000027520	FBgn0031410	AT1G03520	
ENSG00000162551	ENSMUSG00000025964	FBgn0028570	AT1G03530	
ENSG00000076864	ENSMUSG00000069085	FBgn0051949	AT1G03540	
ENSG00000090686	ENSMUSG00000025963	FBgn0031412	AT1G03550	
ENSG00000187942	ENSMUSG00000025962	FBgn0031413	AT1G03560	
ENSG00000142798	ENSMUSG00000025961	FBgn0031414	AT1G03590	
ENSG00000219073	ENSMUSG00000025959	FBgn0014010	AT1G03600	
ENSG00000070831	ENSMUSG00000025958	FBgn0261647	AT1G03610	
ENSG00000162552	ENSMUSG00000025956	FBgn0031417	AT1G03620	
ENSG00000184677	ENSMUSG00000070871	FBgn0031418	AT1G03630	
ENSG00000070886	ENSMUSG00000045005	FBgn0031419	AT1G03650	
ENSG00000173372	ENSMUSG00000051344	FBgn0031420	AT1G03660	
ENSG00000159189	ENSMUSG00000025955	FBgn0264672	AT1G03670	
ENSG00000173369	ENSMUSG00000070870	FBgn0031422	AT1G03680	
ENSG00000133216	ENSMUSG00000067299	FBgn0031423	AT1G03687	
ENSG00000215906	ENSMUSG00000025952	FBgn0264081	AT1G03700	
ENSG00000227868	ENSMUSG00000073658	FBgn0287218	AT1G03710	
ENSG00000004487	ENSMUSG00000044816	FBgn0031424	AT1G03720	
ENSG00000169641	ENSMUSG00000025950	FBgn0031426	AT1G03730	
ENSG00000179546	ENSMUSG00000025949	FBgn0051948	AT1G03740	
ENSG00000125944	ENSMUSG00000025946	FBgn0085477	AT1G03750	
ENSG00000125945	ENSMUSG00000025945	FBgn0085476	AT1G03760	
ENSG00000204219	ENSMUSG00000015222	FBgn0031428	AT1G03770	
ENSG00000088280	ENSMUSG00000055567	FBgn0264988	AT1G03780	
ENSG00000007968	ENSMUSG00000026005	FBgn0000490	AT1G03790	
ENSG00000117318	ENSMUSG00000026004	FBgn0264978	AT1G03800	
ENSG00000142676	ENSMUSG00000026003	FBgn0011818	AT1G03810	
ENSG00000011007	ENSMUSG00000061816	FBgn0031430	AT1G03820	
ENSG00000057757	ENSMUSG00000026000	FBgn0031431	AT1G03830	
ENSG00000011009	ENSMUSG00000025991	FBgn0031432	AT1G03840	
ENSG00000117308	ENSMUSG00000062209	FBgn0041337	AT1G03850	
ENSG00000117305	ENSMUSG00000025997	FBgn0031434	AT1G03860	
ENSG00000179163	ENSMUSG00000053153	FBgn0031435	AT1G03870	
ENSG00000188822	ENSMUSG00000045648	FBgn0031436	AT1G03880	
ENSG00000189266	ENSMUSG00000026196	FBgn0031437	AT1G03890	
ENSG00000188529	ENSMUSG00000050296	FBgn0026479	AT1G03900	
ENSG00000142661	ENSMUSG00000026192	FBgn0250835	AT1G03905	
ENSG00000142677	ENSMUSG00000026193	FBgn0031440	AT1G03910	
ENSG00000185436	ENSMUSG00000039395	FBgn0263322	AT1G03920	
ENSG00000158055	ENSMUSG00000026189	FBgn0031441	AT1G03930	
ENSG00000001460	ENSMUSG00000026188	FBgn0264433	AT1G03940	
ENSG00000001461	ENSMUSG00000026187	FBgn0053125	AT1G03950	
ENSG00000117602	ENSMUSG00000039372	FBgn0031442	AT1G03960	
ENSG00000184454	ENSMUSG00000039354	FBgn0026395	AT1G03970	
ENSG00000133226	ENSMUSG00000039342	FBgn0031443	AT1G03980	
ENSG00000169504	ENSMUSG00000046330	FBgn0031444	AT1G03982	
ENSG00000020633	ENSMUSG00000039323	FBgn0041248	AT1G03990	
ENSG00000117614	ENSMUSG00000026185	FBgn0051690	AT1G04000	
ENSG00000117616	ENSMUSG00000026182	FBgn0031446	AT1G04010	
ENSG00000187010	ENSMUSG00000055322	FBgn0031449	AT1G04020	
ENSG00000183726	ENSMUSG00000061815	FBgn0031450	AT1G04030	
ENSG00000188672	ENSMUSG00000026180	FBgn0031451	AT1G04040	
ENSG00000204178	ENSMUSG00000048480	FBgn0031452	AT1G04050	
ENSG00000157978	ENSMUSG00000006304	FBgn0250906	AT1G04070	
ENSG00000117643	ENSMUSG00000064272	FBgn0031453	AT1G04080	
ENSG00000162430	ENSMUSG00000006299	FBgn0031456	AT1G04090	
ENSG00000117640	ENSMUSG00000026179	FBgn0031457	AT1G04100	
ENSG00000127423	ENSMUSG00000006301	FBgn0031458	AT1G04105	
ENSG00000182749	ENSMUSG00000073650	FBgn0026324	AT1G04110	
ENSG00000117632	ENSMUSG00000026177	FBgn0028398	AT1G04120	
ENSG00000158006	ENSMUSG00000026176	FBgn0019830	AT1G04130	
ENSG00000158008	ENSMUSG00000026175	FBgn0031459	AT1G04140	
ENSG00000158014	ENSMUSG00000033364	FBgn0031460	AT1G04150	
ENSG00000158022	ENSMUSG00000026174	FBgn0004242	AT1G04160	
ENSG00000175087	ENSMUSG00000026173	FBgn0031461	AT1G04170	
ENSG00000197245	ENSMUSG00000026135	FBgn0031462	AT1G04180	
ENSG00000282872	ENSMUSG00000026172	FBgn0031463	AT1G04190	
ENSG00000236782	ENSMUSG00000026171	FBgn0283531	AT1G04200	
ENSG00000142684	ENSMUSG00000033276	FBgn0031466	AT1G04210	
ENSG00000142675	ENSMUSG00000033257	FBgn0031467	AT1G04220	
ENSG00000188782	ENSMUSG00000026170	FBgn0031468	AT1G04230	
ENSG00000130695	ENSMUSG00000006542	FBgn0031469	AT1G04240	
ENSG00000142669	ENSMUSG00000033227	FBgn0031470	AT1G04250	
ENSG00000158062	ENSMUSG00000026167	FBgn0031471	AT1G04260	
ENSG00000169442	ENSMUSG00000055197	FBgn0031472	AT1G04270	
ENSG00000176092	ENSMUSG00000006546	FBgn0031473	AT1G04280	
ENSG00000176083	ENSMUSG00000047021	FBgn0015521	AT1G04290	
ENSG00000131914	ENSMUSG00000006538	FBgn0031474	AT1G04300	
ENSG00000117682	ENSMUSG00000026162	FBgn0051694	AT1G04310	
ENSG00000198830	ENSMUSG00000026205	FBgn0031476	AT1G04330	
ENSG00000117676	ENSMUSG00000033159	FBgn0031478	AT1G04340	
ENSG00000117713	ENSMUSG00000049339	FBgn0031479	AT1G04350	
ENSG00000060642	ENSMUSG00000026197	FBgn0051950	AT1G04360	
ENSG00000204160	ENSMUSG00000033124	FBgn0028970	AT1G04370	
ENSG00000175793	ENSMUSG00000026199	FBgn0024947	AT1G04380	
ENSG00000142751	ENSMUSG00000026200	FBgn0041111	AT1G04390	
ENSG00000198746	ENSMUSG00000026201	FBgn0010263	AT1G04400	
ENSG00000090273	ENSMUSG00000026202	FBgn0024920	AT1G04410	
ENSG00000131910	ENSMUSG00000096094	FBgn0004584	AT1G04420	
ENSG00000175707	ENSMUSG00000026203	FBgn0260639	AT1G04430	
ENSG00000253368	ENSMUSG00000026204	FBgn0031483	AT1G04440	
ENSG00000158246	ENSMUSG00000033061	FBgn0031484	AT1G04445	
ENSG00000090020	ENSMUSG00000026209	FBgn0031485	AT1G04450	
ENSG00000142784	ENSMUSG00000026208	FBgn0250786	AT1G04455	
ENSG00000186501	ENSMUSG00000026207	FBgn0025109	AT1G04470	
ENSG00000142765	ENSMUSG00000033021	FBgn0002989	AT1G04480	
ENSG00000142733	ENSMUSG00000033007	FBgn0025681	AT1G04490	
ENSG00000142748	ENSMUSG00000032997	FBgn0031488	AT1G04500	
ENSG00000174950	ENSMUSG00000026211	FBgn0031489	AT1G04510	
ENSG00000181773	ENSMUSG00000051703	FBgn0031490	AT1G04520	
ENSG00000158195	ENSMUSG00000032968	FBgn0031491	AT1G04530	
ENSG00000126705	ENSMUSG00000026213	FBgn0031492	AT1G04540	
ENSG00000000938	ENSMUSG00000006576	FBgn0031493	AT1G04550	
ENSG00000126709	ENSMUSG00000026235	FBgn0031494	AT1G04555	
ENSG00000009780	ENSMUSG00000004872	FBgn0031495	AT1G04560	
ENSG00000117758	ENSMUSG00000032908	FBgn0031496	AT1G04570	
ENSG00000117751	ENSMUSG00000026245	FBgn0031497	AT1G04580	
ENSG00000130775	ENSMUSG00000090486	FBgn0031498	AT1G04590	
ENSG00000117748	ENSMUSG00000012187	FBgn0243513	AT1G04600	
ENSG00000130768	ENSMUSG00000032883	FBgn0031500	AT1G04610	
